AREA,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Haryana Delhi & Chandigarh,2007,0.5,76.0,40.1,2.0,12.4,88.7,82.0,87.9,55.2,0.1,0.3,1.4
Haryana Delhi & Chandigarh,2008,2.4,0.4,0.6,13.4,72.9,193.5,124.3,174.2,114.5,8.4,5.5,0.2
Haryana Delhi & Chandigarh,2009,4.1,5.9,5.7,11.7,17.7,15.2,106.4,63.8,160.8,2.5,1.1,0.4
Haryana Delhi & Chandigarh,2010,4.8,10.2,0.5,0.8,5.9,29.1,189.3,198.5,183.9,1.1,3.5,12.8
Haryana Delhi & Chandigarh,2011,0.7,26.7,6.9,8.9,28.7,94.4,85.0,127.3,133.1,0.0,0.0,0.4
Haryana Delhi & Chandigarh,2012,8.2,0.2,0.1,11.8,3.8,5.3,68.1,196.6,90.7,2.4,0.6,3.5
Haryana Delhi & Chandigarh,2013,21.1,52.2,5.3,3.3,1.4,62.1,96.5,161.9,42.8,10.9,1.7,2.1
Haryana Delhi & Chandigarh,2014,13.0,17.3,26.8,7.5,20.3,25.9,72.3,34.8,67.3,10.5,0.2,9.6
Haryana Delhi & Chandigarh,2015,12.4,6.6,71.8,34.8,8.4,43.7,130.3,89.2,32.1,3.7,2.3,0.2
Haryana Delhi & Chandigarh,2016,0.0,1.1,20.7,0.6,26.7,35.8,159.8,133.0,14.8,5.2,0.0,1.0
Haryana Delhi & Chandigarh,2017,34.2,0.3,7.2,4.3,10.3,121.2,69.2,76.5,92.5,0.0,1.8,4.2
